ID,Frame Name,Cycle Time [ms],Launch Type,Launch Parameter,Signal Byte No.,Signal Bit No.,Signal Name,Signal Function,Signal Length [Bit],Signal Default, Signal Not Available,Byteorder,is signed,Charger,HVB,IVTMain,PC,VCU,Name / Phys. Range,Function / Increment Unit,Value,frame.,signal.
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV048,Mode 16:Cell 48 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV051,Mode 17:Cell 51 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV054,Mode 18:Cell 54 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV057,Mode 19:Cell 57 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV060,Mode 20:Cell 60 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV063,Mode 21:Cell 63 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV066,Mode 22:Cell 66 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV069,Mode 23:Cell 69 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV072,Mode 24:Cell 72 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV075,Mode 25:Cell 75 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV078,Mode 26:Cell 78 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV081,Mode 27:Cell 81 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV084,Mode 28:Cell 84 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV087,Mode 29:Cell 87 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV090,Mode 30:Cell 90 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV093,Mode 31:Cell 93 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV096,Mode 32:Cell 96 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV099,Mode 33:Cell 99 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV102,Mode 34:Cell 102 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV105,Mode 35:Cell 105 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV108,Mode 36:Cell 108 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV111,Mode 37:Cell 111 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV114,Mode 38:Cell 114 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV117,Mode 39:Cell 117 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV120,Mode 40:Cell 120 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV123,Mode 41:Cell 123 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV126,Mode 42:Cell 126 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV129,Mode 43:Cell 129 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV132,Mode 44:Cell 132 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV135,Mode 45:Cell 135 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV138,Mode 46:Cell 138 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV141,Mode 47:Cell 141 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV144,Mode 48:Cell 144 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV147,Mode 49:Cell 147 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV150,Mode 50:Cell 150 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV153,Mode 51:Cell 153 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV156,Mode 52:Cell 156 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV159,Mode 53:Cell 159 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV162,Mode 54:Cell 162 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV165,Mode 55:Cell 165 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV168,Mode 56:Cell 168 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV171,Mode 57:Cell 171 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV174,Mode 58:Cell 174 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV177,Mode 59:Cell 177 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV180,Mode 60:Cell 180 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV183,Mode 61:Cell 183 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV186,Mode 62:Cell 186 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV189,Mode 63:Cell 189 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV192,Mode 64:Cell 192 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV195,Mode 65:Cell 195 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV198,Mode 66:Cell 198 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV201,Mode 67:Cell 201 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV204,Mode 68:Cell 204 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV207,Mode 69:Cell 207 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV210,Mode 70:Cell 210 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV213,Mode 71:Cell 213 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV216,Mode 72:Cell 216 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV219,Mode 73:Cell 219 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV222,Mode 74:Cell 222 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV225,Mode 75:Cell 225 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV228,Mode 76:Cell 228 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV231,Mode 77:Cell 231 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV234,Mode 78:Cell 234 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV237,Mode 79:Cell 237 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV240,Mode 80:Cell 240 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV243,Mode 81:Cell 243 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV246,Mode 82:Cell 246 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV249,Mode 83:Cell 249 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV252,Mode 84:Cell 252 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV255,Mode 85:Cell 255 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV001,Mode 0:Cell 1 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV004,Mode 1:Cell 4 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV007,Mode 2:Cell 7 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV010,Mode 3:Cell 10 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV013,Mode 4:Cell 13 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV016,Mode 5:Cell 16 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV019,Mode 6:Cell 19 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV022,Mode 7:Cell 22 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV025,Mode 8:Cell 25 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV028,Mode 9:Cell 28 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV031,Mode 10:Cell 31 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV034,Mode 11:Cell 34 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV037,Mode 12:Cell 37 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV040,Mode 13:Cell 40 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV043,Mode 14:Cell 43 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV046,Mode 15:Cell 46 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV049,Mode 16:Cell 49 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV052,Mode 17:Cell 52 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV055,Mode 18:Cell 55 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV058,Mode 19:Cell 58 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV061,Mode 20:Cell 61 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV064,Mode 21:Cell 64 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV067,Mode 22:Cell 67 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV070,Mode 23:Cell 70 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV073,Mode 24:Cell 73 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV076,Mode 25:Cell 76 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV079,Mode 26:Cell 79 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV082,Mode 27:Cell 82 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV085,Mode 28:Cell 85 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV088,Mode 29:Cell 88 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV091,Mode 30:Cell 91 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV094,Mode 31:Cell 94 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV097,Mode 32:Cell 97 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV100,Mode 33:Cell 100 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV103,Mode 34:Cell 103 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV106,Mode 35:Cell 106 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV109,Mode 36:Cell 109 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV112,Mode 37:Cell 112 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV115,Mode 38:Cell 115 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV118,Mode 39:Cell 118 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV121,Mode 40:Cell 121 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV124,Mode 41:Cell 124 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV127,Mode 42:Cell 127 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV130,Mode 43:Cell 130 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV133,Mode 44:Cell 133 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV136,Mode 45:Cell 136 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV139,Mode 46:Cell 139 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV142,Mode 47:Cell 142 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV145,Mode 48:Cell 145 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV148,Mode 49:Cell 148 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV151,Mode 50:Cell 151 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV154,Mode 51:Cell 154 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV157,Mode 52:Cell 157 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV160,Mode 53:Cell 160 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV163,Mode 54:Cell 163 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV166,Mode 55:Cell 166 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV169,Mode 56:Cell 169 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV172,Mode 57:Cell 172 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV175,Mode 58:Cell 175 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,5,0,BMS_VDbgV178,Mode 59:Cell 178 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
